"Name of Satellite, Alternate Names"	Current Official Name of Satellite	Country/Org of UN Registry	Country of Operator/Owner	Operator/Owner	Users	Purpose	Detailed Purpose	Class of Orbit	Type of Orbit	Longitude of GEO (degrees)	Perigee (km)	Apogee (km)	Eccentricity	Inclination (degrees)	Period (minutes)	Launch Mass (kg.)	Dry Mass (kg.)	Power (watts)	Date of Launch	Expected Lifetime (yrs.)	Contractor	Country of Contractor	Launch Site	Launch Vehicle	COSPAR Number	NORAD Number	Comments		Source Used for Orbital Data	Source		Source	Source	Source	Source	Source																																																																																																																																																																																																																											
Aerocube 14B	Aerocube 14B	NR (3/20)	USA	Aerospace Corporation	Military	Technology Development		LEO	Non-Polar Inclined	0.00	459	474	1.10E-03	51.60	93.9				1/31/2020		Aerospace Corporation	USA	Cygnus	Nanorack Deployer	2019-071F	45116	"Demonstrate new star-tracker baffle technology, a variety of nanotechnology payloads that will test new and emerging materials, including structural materials and thermal straps."		JMSatcat/3_20	http://spaceref.com/news/viewpr.html?pid=55212	https://airtable.com/shrafcwXODMMKeRgU/tbldJoOBP5wlNOJQY?blocks=hide																																																																																																																																																																																																																																
Aerocube 15A	Aerocube 15A	NR (3/20)	USA	Aerospace Corporation	Military	Technology Development		LEO	Non-Polar Inclined	0.00	458	474	1.17E-03	51.60	93.9				1/31/2020		Aerospace Corporation	USA	Cygnus	Nanorack Deployer	2019-071G	45117	"Demonstratae rapid development of a small-size, weight and power (SWAP), low-cost optical sensor in low earth orbit."		JMSatcat/3_20	http://spaceref.com/news/viewpr.html?pid=55212	https://airtable.com/shrafcwXODMMKeRgU/tbldJoOBP5wlNOJQY?blocks=hide																																																																																																																																																																																																																																
Aerocube 5C	Aerocube 5C	NR	USA	Aerospace Corporation	Commercial	Technology Development		LEO	Non-Polar Inclined	0.00	500	802	2.15E-02	64.78	97.74	2			10/8/2015		Aerospace Corporation	USA	Vandenberg AFB	Atlas 5	2015-058B	40965	"Demonstrate tracking technologies, optical communications and laser communication."		JR/12_15	http://spaceflightnow.com/2015/10/08/recap-story-second-atlas-5-rocket-launched-in-span-of-six-days/		http://planet4589.org/space/log/satcat.txt																																																																																																																																																																																																																															
Aerocube 6A	Aerocube 6A	NR	USA	Aerospace Corporation	Commercial	Technology Development		LEO	Sun-Synchronous	0.00	614	700	6.12E-03	97.98	97.88	5			6/19/2014	3	Aerospace Corporation	USA	Dombarovsky Air Base	Dnepr	2014-033AM	40045	Technology development for cubesat constellation.		ZARYA	http://www.aerospace.org/2014/06/26/aerocube-6-launches-aboard-russian-rocket/		http://www.zarya.info/Diaries/Launches/Launches.php?year=2014																																																																																																																																																																																																																															
Aerocube 6B	Aerocube 6B	NR	USA	Aerospace Corporation	Commercial	Technology Development		LEO	Sun-Synchronous	0.00	614	700	6.12E-03	97.98	97.88	5			6/19/2014	3	Aerospace Corporation	USA	Dombarovsky Air Base	Dnepr	2014-033AN	40046	Technology development for cubesat constellation.		ZARYA	http://www.aerospace.org/2014/06/26/aerocube-6-launches-aboard-russian-rocket/		http://www.zarya.info/Diaries/Launches/Launches.php?year=2014																																																																																																																																																																																																																															
Aerocube 7A	Aerocube 7A	NR	USA	Aerospace Corporation	Commercial	Technology Development		LEO	Non-Polar Inclined	0.00	500	802	2.15E-02	64.60	97.4	2			10/8/2015		Aerospace Corporation	USA	Vandenberg AFB	Atlas 5	2015-058C	40966			JM/12_15	http://spaceflightnow.com/2015/10/08/recap-story-second-atlas-5-rocket-launched-in-span-of-six-days/		http://planet4589.org/space/log/satcat.txt																																																																																																																																																																																																																															
Aerocube 7B	Aerocube 7B	NR (3/20)	USA	Aerospace Corporation	Commercial	Technology Development		LEO	Non-Polar Inclined	0.00	432	437	3.67E-04	53.60	93.2	2			11/12/2017		Aerospace Corporation	USA	Wallops Island Flight Facility	Antares 230	2017-071F	43042			JMSatcat/7_20	https://aerospace.org/aerocubes																																																																																																																																																																																																																																	
Aerocube 7C	Aerocube 7C	NR (3/20)	USA	Aerospace Corporation	Commercial	Technology Development		LEO	Non-Polar Inclined	0.00	432	437	3.67E-04	53.60	93.2	2			11/12/2017		Aerospace Corporation	USA	Wallops Island Flight Facility	Antares 230	2017-071G	43043			JMSatcat/7_20	https://aerospace.org/aerocubes																																																																																																																																																																																																																																	
Aerocube 8A	Aerocube 8A	NR	USA	Aerospace Corporation	Commercial	Technology Development		LEO	Non-Polar Inclined	0.00	356	700	2.49E-02	55.00	95.19	5			5/20/2015		Aerospace Corporation	USA	Cape Canaveral	Atlas 5	2015-025J	40659			JM/8_15	http://www.spaceflight101.com/afspc-05-secondary-payloads.html																																																																																																																																																																																																																																	
Aerocube 8B	Aerocube 8B	NR	USA	Aerospace Corporation	Commercial	Technology Development		LEO	Non-Polar Inclined	0.00	356	700	2.49E-02	55.00	95.19	5			5/20/2015		Aerospace Corporation	USA	Cape Canaveral	Atlas 5	2015-025K	40660			JM/8_15	http://www.spaceflight101.com/afspc-05-secondary-payloads.html																																																																																																																																																																																																																																	
